Water supply facility,Phase,Sampling point,Standpipe type,Distance from storage tank (m),FCR (mg/L),pH,Temperature (Celcius),Conductivity (µS/cm),Turbidity (NTU),Date (mm/dd/year),Time (24hrs)
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.15,6.91,31.4,457,0.13,11/16/2021,12:42
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.27,6.98,30.7,482,0.14,11/16/2021,13:02
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.00,6.97,31.0,472,0.14,11/16/2021,13:23
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.49,5.32,31.3,496,0.37,11/16/2021,13:39
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.35,6.23,31.4,481,0.46,11/16/2021,14:15
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.81,NA,31.2,475,0.46,11/16/2021,16:18
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.21,NA,32.3,443,0.23,11/16/2021,16:50
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.11,NA,31.0,463,0.23,11/16/2021,17:04
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.20,NA,31.8,469,0.28,11/16/2021,17:14
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.17,NA,30.2,478,0.27,11/16/2021,17:28
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.25,7.38,29.4,494,0.35,11/17/2021,10:27
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.53,7.05,29.0,495,0.45,11/17/2021,10:42
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.54,6.95,30.0,482,0.19,11/17/2021,10:51
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.67,6.94,29.5,464,0.20,11/17/2021,11:00
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.47,6.99,27.8,474,0.23,11/17/2021,11:22
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.44,6.96,31.3,492,0.31,11/17/2021,16:05
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.45,7.02,29.7,467,0.94,11/17/2021,16:27
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.83,6.99,31.2,481,0.42,11/17/2021,16:42
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.41,6.90,31.3,490,0.16,11/17/2021,17:00
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.40,NA,NA,NA,0.29,11/18/2021,11:41
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.29,NA,NA,NA,0.25,11/18/2021,15:45
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.30,NA,NA,NA,0.30,11/18/2021,16:00
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.48,NA,NA,NA,0.24,11/18/2021,16:10
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.25,7.12,30.1,492,0.36,11/18/2021,10:45
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.46,6.96,30.3,448,3.73,11/18/2021,11:41
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.32,6.92,33.3,465,0.76,11/18/2021,15:45
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.51,6.94,32.3,460,0.38,11/18/2021,16:00
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.36,6.97,31.3,471,0.18,11/18/2021,16:10
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.73,6.94,29.7,478,0.19,11/18/2021,16:19
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.26,6.99,29.3,469,0.52,11/18/2021,16:31
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.11,6.94,28.9,455,1.16,11/18/2021,16:56
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.57,6.98,26.6,481,0.65,11/19/2021,8:56
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.37,6.96,29.3,460,1.16,11/19/2021,9:24
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.28,7.02,29.2,483,0.14,11/19/2021,9:37
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.20,6.97,29.7,495,0.37,11/19/2021,9:47
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.32,7.01,29.4,481,0.29,11/19/2021,9:56
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.17,6.99,29.2,467,0.32,11/19/2021,10:12
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.62,6.98,32.4,531,0.68,11/19/2021,15:40
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.46,NA,30.2,506,0.24,11/19/2021,15:57
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.49,6.99,30.6,500,0.36,11/19/2021,16:17
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.12,7.02,31.1,485,0.12,11/19/2021,16:29
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.12,7.03,30.2,520,0.15,11/19/2021,16:43
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.59,7.01,30.1,476,2.21,11/19/2021,17:04
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.86,7.07,29.4,545,0.22,11/22/2021,9:25
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.80,6.95,29.6,504,0.45,11/22/2021,9:45
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,1.02,7.05,34.5,679,0.29,11/22/2021,15:56
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,1.19,7.01,32.5,545,0.65,11/22/2021,16:27
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.86,7.02,31.5,500,0.76,11/22/2021,16:39
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.55,7.15,29.7,850,0.13,11/23/2021,9:35
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,1.16,7.24,29.5,482,0.15,11/23/2021,9:57
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.48,6.99,30.6,487,0.71,11/23/2021,15:26
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,1.31,6.98,30.8,475,0.13,11/23/2021,15:49
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,1.86,7.05,29.9,474,0.12,11/23/2021,16:00
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,1.43,6.97,30.4,492,0.11,11/23/2021,16:15
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.41,7.14,29.1,738,0.21,11/24/2021,9:05
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.52,7.10,30.3,478,0.13,11/24/2021,9:35
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.64,7.11,31.0,477,0.65,11/24/2021,9:48
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.89,6.96,29.8,492,0.21,11/24/2021,9:58
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.33,7.13,32.4,486,0.10,11/24/2021,15:51
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,1.28,6.97,31.7,470,0.26,11/24/2021,16:08
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,1.02,6.99,31.1,486,0.18,11/24/2021,16:24
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.80,7.01,30.5,478,0.10,11/24/2021,16:33
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.33,6.88,30.3,472,0.13,11/24/2021,16:46
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.49,6.99,30.3,508,0.44,11/25/2021,9:14
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.41,7.18,31.1,504,0.29,11/25/2021,9:28
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.42,7.04,30.3,479,0.15,11/25/2021,9:38
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.22,6.96,29.8,464,0.22,11/25/2021,9:50
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.15,7.04,30.4,497,0.10,11/25/2021,15:06
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.17,6.98,32.1,488,0.34,11/25/2021,15:21
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.12,7.05,31.8,483,0.26,11/25/2021,15:34
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.19,6.93,31.7,461,0.34,11/25/2021,15:47
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.15,6.92,30.7,476,0.10,11/25/2021,16:04
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.13,7.00,32.0,459,0.13,11/25/2021,16:18
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.42,7.04,29.4,457,0.10,11/26/2021,9:37
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.64,6.96,31.1,490,0.17,11/26/2021,10:06
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.30,6.91,30.7,472,0.13,11/26/2021,10:17
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.52,6.97,30.5,478,0.38,11/26/2021,10:29
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.61,6.98,29.8,470,0.51,11/26/2021,10:40
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.23,6.97,29.6,475,0.23,11/26/2021,10:59
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.17,6.89,31.6,446,0.42,11/26/2021,16:01
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.42,6.95,31.5,487,0.07,11/26/2021,16:15
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.44,6.90,30.3,476,0.17,11/26/2021,16:27
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.31,6.99,30.3,520,0.08,11/26/2021,16:41
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.10,6.92,31.9,459,0.06,11/26/2021,16:54
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.37,6.92,30.7,456,0.11,11/26/2021,17:06
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.23,7.26,28.8,504,0.08,11/29/2021,9:05
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.38,6.98,31.5,489,0.21,11/29/2021,9:24
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.27,7.00,31.3,485,0.08,11/29/2021,9:35
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.34,6.96,30.7,478,0.12,11/29/2021,9:45
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.29,6.99,30.1,486,0.08,11/29/2021,9:57
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.12,6.92,28.8,481,0.06,11/29/2021,10:10
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.32,7.05,30.8,492,0.26,11/29/2021,15:51
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.34,6.95,33.3,513,0.11,11/29/2021,16:08
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.28,6.97,32.6,503,0.24,11/29/2021,16:20
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.26,6.87,31.3,480,0.10,11/29/2021,16:31
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.26,6.88,30.2,501,0.11,11/29/2021,16:41
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.07,6.93,30.5,506,0.15,11/29/2021,16:53
